Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Reggie Bush,NOR,RB,25.0,8.0,6.0,42.0,34.0,0.0,0.0,0.0,150.0,0.0,36.0,208.0,1.0,75.8,0.0,2.0,0.0
Jared Cook,TEN,TE,23.0,16.0,1.0,45.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,1.0,71.1,0.0,0.0,0.0
Bernard Scott,CIN,RB,26.0,16.0,0.0,13.0,11.0,0.0,0.0,0.0,299.0,1.0,61.0,60.0,0.0,50.9,0.0,2.0,1.0
Chansi Stuckey,CLE,WR,27.0,16.0,5.0,63.0,40.0,0.0,0.0,0.0,9.0,1.0,3.0,346.0,0.0,77.5,0.0,3.0,2.0
Seneca Wallace,CLE,QB,30.0,8.0,4.0,1.0,1.0,694.0,4.0,101.0,9.0,0.0,7.0,9.0,0.0,42.56,2.0,1.0,0.0
Ladell Betts,NOR,RB,31.0,8.0,1.0,31.0,23.0,0.0,0.0,0.0,150.0,2.0,45.0,141.0,0.0,62.1,0.0,1.0,1.0
Clinton Portis,WAS,RB,29.0,5.0,5.0,9.0,5.0,0.0,0.0,0.0,227.0,2.0,54.0,55.0,0.0,45.2,0.0,0.0,0.0
Sidney Rice,MIN,WR,24.0,6.0,5.0,42.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,2.0,57.0,0.0,0.0,0.0
Javon Ringer,TEN,RB,23.0,16.0,0.0,8.0,7.0,0.0,0.0,0.0,239.0,2.0,51.0,44.0,0.0,47.3,0.0,0.0,0.0
Demaryius Thomas,DEN,WR,23.0,10.0,2.0,39.0,22.0,0.0,0.0,0.0,1.0,0.0,2.0,283.0,2.0,58.4,0.0,3.0,2.0
Earnest Graham,TAM,RB,30.0,12.0,7.0,19.0,16.0,2.0,1.0,1.0,99.0,1.0,20.0,130.0,1.0,52.98,0.0,1.0,1.0
Seyi Ajirotutu,SDG,WR,23.0,10.0,0.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,2.0,51.2,0.0,0.0,0.0
John Carlson,SEA,TE,26.0,15.0,13.0,58.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,1.0,68.8,0.0,0.0,0.0
Evan Moore,CLE,TE,25.0,12.0,4.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,1.0,52.2,0.0,1.0,1.0
Danario Alexander,STL,WR,24.0,8.0,2.0,37.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,1.0,56.6,0.0,0.0,0.0
Anthony Dixon,SFO,RB,23.0,16.0,0.0,5.0,5.0,0.0,0.0,0.0,237.0,2.0,70.0,11.0,0.0,41.8,0.0,0.0,0.0
Matt Moore,CAR,QB,26.0,6.0,5.0,0.0,0.0,857.0,5.0,143.0,25.0,0.0,5.0,0.0,0.0,32.78,10.0,4.0,2.0
Antwaan Randle El,PIT,WR,31.0,16.0,0.0,39.0,22.0,42.0,2.0,2.0,2.0,0.0,1.0,253.0,0.0,57.18000000000001,0.0,2.0,0.0
Micheal Spurlock,TAM,WR,27.0,16.0,1.0,33.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,250.0,2.0,52.0,0.0,2.0,1.0
