Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att.1,Yds.1,Rec,Yds.2,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
Virgil Robinson,NOR,RB,24.0,11.0,2.0,0.0,0.0,0.0,0.0,29.0,96.0,12.0,53.0,4.42,2.0,0.0,0.0,0.0,0.0,96.0,1.0,29.0,53.0,1.0,34.9
Stu Voigt,MIN,TE,23.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,214.0,14.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,1.0,40.4
Marv Fleming,MIA,TE,29.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,137.0,10.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,2.0,38.7
Jack Gehrke,DEN,WR,25.0,14.0,11.0,1.0,2.0,19.0,0.0,1.0,2.0,14.0,254.0,18.14,0.0,0.0,19.0,0.0,2.0,2.0,0.0,1.0,254.0,0.0,40.36
Ron Johnson,NYG,RB,24.0,2.0,2.0,0.0,0.0,0.0,0.0,32.0,156.0,6.0,47.0,7.83,2.0,0.0,0.0,0.0,0.0,156.0,1.0,32.0,47.0,0.0,28.3
Fran Lynch,DEN,RB,26.0,10.0,1.0,0.0,0.0,0.0,0.0,26.0,162.0,2.0,42.0,21.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,26.0,42.0,1.0,28.4
Dickie Post,2TM,RB,26.0,13.0,3.0,0.0,0.0,0.0,0.0,40.0,86.0,9.0,112.0,12.44,0.0,0.0,0.0,0.0,0.0,86.0,0.0,40.0,112.0,1.0,34.8
Bob Gladieux,NWE,RB,24.0,14.0,0.0,1.0,2.0,48.0,0.0,37.0,175.0,6.0,60.0,10.0,3.0,0.0,48.0,0.0,2.0,175.0,0.0,37.0,60.0,0.0,25.42
Jim Grabowski,CHI,RB,27.0,12.0,9.0,0.0,0.0,0.0,0.0,51.0,149.0,17.0,100.0,5.88,3.0,0.0,0.0,0.0,0.0,149.0,0.0,51.0,100.0,0.0,35.9
Hoyle Granger,NOR,RB,27.0,14.0,4.0,0.0,0.0,0.0,0.0,32.0,139.0,12.0,52.0,4.33,1.0,0.0,0.0,0.0,0.0,139.0,1.0,32.0,52.0,0.0,35.1
Rod Sherman,OAK,WR,27.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,187.0,15.58,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,1.0,32.7
Gary Ballman,PHI,TE,31.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,238.0,18.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,34.8
Jim Braxton,BUF,RB,22.0,13.0,0.0,1.0,3.0,49.0,0.0,21.0,84.0,18.0,141.0,7.83,2.0,0.0,49.0,0.0,3.0,84.0,0.0,21.0,141.0,0.0,38.46
Dave Williams,STL,WR,26.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,182.0,15.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,1.0,36.2
Rick Arrington,PHI,QB,24.0,10.0,4.0,55.0,118.0,576.0,5.0,5.0,23.0,0.0,0.0,0.0,1.0,0.0,576.0,2.0,118.0,23.0,0.0,5.0,0.0,0.0,21.34
Greg Jones,BUF,RB,23.0,14.0,1.0,0.0,0.0,0.0,0.0,16.0,53.0,16.0,113.0,7.06,1.0,0.0,0.0,0.0,0.0,53.0,0.0,16.0,113.0,1.0,36.6
Cliff McClain,NYJ,RB,24.0,11.0,0.0,0.0,0.0,0.0,0.0,12.0,108.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,108.0,2.0,12.0,0.0,0.0,20.8
Ward Walsh,HOU,RB,23.0,13.0,1.0,0.0,0.0,0.0,0.0,38.0,129.0,6.0,36.0,6.0,2.0,0.0,0.0,0.0,0.0,129.0,0.0,38.0,36.0,1.0,24.5
Wes Chesson,ATL,WR,22.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,-4.0,20.0,224.0,11.2,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,1.0,224.0,0.0,42.0
Charley Johnson,HOU,QB,33.0,14.0,4.0,46.0,94.0,592.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,592.0,3.0,94.0,0.0,0.0,2.0,0.0,0.0,17.68
Ken Stabler,OAK,QB,26.0,14.0,1.0,24.0,48.0,268.0,4.0,4.0,29.0,0.0,0.0,0.0,1.0,0.0,268.0,1.0,48.0,29.0,2.0,4.0,0.0,0.0,19.62
Pete Lammons,NYJ,TE,28.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,149.0,18.63,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,149.0,1.0,27.2
Jim Lindsey,MIN,RB,27.0,14.0,0.0,0.0,0.0,0.0,0.0,46.0,182.0,8.0,31.0,3.88,1.0,0.0,0.0,0.0,0.0,182.0,0.0,46.0,31.0,0.0,27.3
Larry Watkins,PHI,RB,25.0,12.0,1.0,0.0,0.0,0.0,0.0,35.0,98.0,6.0,40.0,6.67,0.0,0.0,0.0,0.0,0.0,98.0,1.0,35.0,40.0,0.0,25.8
Ted Koy,BUF,TE,24.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,133.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,1.0,29.3
Tommy Mason,WAS,RB,32.0,10.0,1.0,0.0,0.0,0.0,0.0,31.0,85.0,12.0,109.0,9.08,2.0,0.0,0.0,0.0,0.0,85.0,0.0,31.0,109.0,0.0,27.4
Joe Williams,DAL,RB,24.0,12.0,0.0,0.0,0.0,0.0,0.0,21.0,67.0,3.0,59.0,19.67,3.0,0.0,0.0,0.0,0.0,67.0,1.0,21.0,59.0,0.0,15.6
Mel Farr,DET,RB,27.0,9.0,1.0,0.0,0.0,0.0,0.0,22.0,64.0,5.0,60.0,12.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,22.0,60.0,1.0,23.4
Roland Moss,NWE,TE,25.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,124.0,13.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,1.0,27.4
Eddie Bell,NYJ,WR,25.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,110.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,1.0,20.0
James Harris,BUF,QB,24.0,7.0,2.0,51.0,103.0,512.0,6.0,6.0,42.0,0.0,0.0,0.0,3.0,0.0,512.0,1.0,103.0,42.0,0.0,6.0,0.0,0.0,10.68
Jim McFarland,STL,TE,24.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,54.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,22.4
Leroy Sledge,HOU,RB,25.0,6.0,1.0,0.0,0.0,0.0,0.0,24.0,74.0,6.0,32.0,5.33,1.0,0.0,0.0,0.0,0.0,74.0,0.0,24.0,32.0,1.0,20.6
Norm Snead,MIN,QB,32.0,7.0,2.0,37.0,75.0,470.0,6.0,6.0,6.0,0.0,0.0,0.0,2.0,0.0,470.0,1.0,75.0,6.0,1.0,6.0,0.0,0.0,13.4
Clem Turner,DEN,RB,26.0,14.0,0.0,0.0,0.0,0.0,0.0,17.0,43.0,7.0,65.0,9.29,1.0,0.0,0.0,0.0,0.0,43.0,0.0,17.0,65.0,1.0,21.8
Gene Washington,MIN,WR,27.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,165.0,13.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,26.5
Jim Whalen,2TM,TE,28.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,165.0,20.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,24.5
Bob Adams,PIT,TE,25.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,160.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,34.0
